category_id,category_name,sub_cat1,sub_cat2,sub_cat3
108,"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",Computers_Accessories,Accessories_Peripherals,Cases
109,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,Home_Kitchen,Kitchen_HomeAppliances,WaterPurifierAccessories
110,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,Computers_Accessories,Accessories_Peripherals,CameraPrivacyCovers
111,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,Home_Kitchen,CraftMaterials,Pens
112,"Electronics|HomeTheater,TV&Video|Projectors",Electronics,HomeTheater_TV_Video,Projectors
113,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",Home_Kitchen,Kitchen_HomeAppliances,Wet-DryVacuums
114,Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,Home_Kitchen,HomeStorage_Organization,LaundryBaskets
115,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,Computers_Accessories,Accessories_Peripherals,LaptopChargers_PowerSupplies
116,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,Home_Kitchen,CraftMaterials,Paints
117,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",Computers_Accessories,Accessories_Peripherals,MousePads
118,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,Home_Kitchen,Kitchen_HomeAppliances,OvenToasterGrills
119,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,Home_Kitchen,Kitchen_HomeAppliances,DigitalScales
120,Home&Kitchen|CraftMaterials|PaintingMaterials,Home_Kitchen,CraftMaterials,PaintingMaterials
121,Computers&Accessories|Accessories&Peripherals|USBHubs,Computers_Accessories,Accessories_Peripherals,USBHubs
122,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",OfficeProducts,OfficePaperProducts,Notepads_MemoBooks
123,Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,Electronics,Mobiles_Accessories,Shower_WallMounts
124,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,Home_Kitchen,Kitchen_HomeAppliances,Pop-upToasters
125,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",OfficeProducts,OfficePaperProducts,WireboundNotebooks
126,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,Computers_Accessories,Accessories_Peripherals,CableConnectionProtectors
127,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",Computers_Accessories,Printers_Inks_Accessories,InkjetInkCartridges
128,OfficeProducts|OfficeElectronics|Calculators|Basic,OfficeProducts,OfficeElectronics,Basic
129,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,Computers_Accessories,Accessories_Peripherals,EthernetCables
130,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",OfficeProducts,OfficePaperProducts,CompositionNotebooks
131,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,Home_Kitchen,Kitchen_HomeAppliances,MiniFoodProcessors_Choppers
132,Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,Computers_Accessories,ExternalDevices_DataStorage,ExternalMemoryCardReaders
133,"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",Electronics,HomeTheater_TV_Video,SatelliteReceivers
134,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,Computers_Accessories,Accessories_Peripherals,PCSpeakers
135,Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,Computers_Accessories,Accessories_Peripherals,Caddies
136,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,Computers_Accessories,Accessories_Peripherals,PCHeadsets
137,Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,Electronics,HomeAudio,MultimediaSpeakerSystems
138,"Electronics|Headphones,Earbuds&Accessories|Adapters",Electronics,Headphones_Earbuds_Accessories,Adapters
139,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",OfficeProducts,OfficePaperProducts,LiquidInkRollerballPens
140,Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,Electronics,Cameras_Photography,BackgroundSupports
141,Electronics|Mobiles&Accessories|MobileAccessories|Décor,Electronics,Mobiles_Accessories,Décor
142,HomeImprovement|Electrical|CordManagement,HomeImprovement,Electrical,CordManagement
143,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",Home_Kitchen,Heating_Cooling_AirQuality,PedestalFans
144,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",OfficeProducts,OfficePaperProducts,GelInkRollerballPens
145,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",OfficeProducts,OfficePaperProducts,RetractableBallpointPens
146,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",Home_Kitchen,Kitchen_HomeAppliances,RoboticVacuums
147,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,Home_Kitchen,CraftMaterials,WoodenPencils
148,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",Home_Kitchen,Kitchen_HomeAppliances,MeasuringSpoons
149,Electronics|Cameras&Photography|Accessories|Film,Electronics,Cameras_Photography,Film
150,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",Home_Kitchen,Kitchen_HomeAppliances,LintShavers
151,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",OfficeProducts,OfficePaperProducts,FountainPens
152,Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,Electronics,Mobiles_Accessories,BasicCases
153,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,Computers_Accessories,Accessories_Peripherals,GamingKeyboards
154,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,Home_Kitchen,Kitchen_HomeAppliances,StandMixerAccessories
155,Electronics|HomeAudio|Speakers|SoundbarSpeakers,Electronics,HomeAudio,SoundbarSpeakers
156,Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,Computers_Accessories,Accessories_Peripherals,USBtoUSBAdapters
157,OfficeProducts|OfficeElectronics|Calculators|Financial&Business,OfficeProducts,OfficeElectronics,Financial_Business
158,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",Home_Kitchen,Kitchen_HomeAppliances,MilkFrothers
159,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",Home_Kitchen,Heating_Cooling_AirQuality,TableFans
160,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",OfficeProducts,OfficePaperProducts,StickBallpointPens
161,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",Home_Kitchen,Kitchen_HomeAppliances,DripCoffeeMachines
162,"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",Home_Kitchen,Heating_Cooling_AirQuality,HEPAAirPurifiers
163,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",Electronics,HomeTheater_TV_Video,RemoteControls
164,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",Electronics,HomeTheater_TV_Video,StandardTelevisions
165,"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",Home_Kitchen,Heating_Cooling_AirQuality,Humidifiers
166,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,Home_Kitchen,Kitchen_HomeAppliances,AirFryers
167,Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,Home_Kitchen,HomeStorage_Organization,LaundryBags
168,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",Home_Kitchen,Kitchen_HomeAppliances,EspressoMachines
169,Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,Health_PersonalCare,HomeMedicalSupplies_Equipment,DigitalBathroomScales
170,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",OfficeProducts,OfficePaperProducts,Notebooks_WritingPads_Diaries
171,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,Home_Kitchen,Kitchen_HomeAppliances,Juicers
172,"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",Home_Kitchen,Heating_Cooling_AirQuality,FanParts_Accessories
173,Electronics|Cameras&Photography|VideoCameras,Electronics,Cameras_Photography,VideoCameras
174,Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,Electronics,HomeAudio,Mounts
175,Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,Electronics,Mobiles_Accessories,Bedstand_DeskMounts
176,"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",Home_Kitchen,Heating_Cooling_AirQuality,Split-SystemAirConditioners
177,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",OfficeProducts,OfficePaperProducts,BottledInk
178,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",Home_Kitchen,Heating_Cooling_AirQuality,RoomHeaters
179,Computers&Accessories|Tablets,Computers_Accessories,Tablets,Tablets
180,Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,Home_Kitchen,HomeStorage_Organization,SprayBottles
181,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",Electronics,HomeTheater_TV_Video,TVWall_CeilingMounts
182,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",Home_Kitchen,Kitchen_HomeAppliances,HandheldBags
183,Computers&Accessories|Monitors,Computers_Accessories,Monitors,Monitors
184,HomeImprovement|Electrical|Adapters&Multi-Outlets,HomeImprovement,Electrical,Adapters_Multi-Outlets
185,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",Computers_Accessories,Printers_Inks_Accessories,TonerCartridges
186,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,Home_Kitchen,Kitchen_HomeAppliances,ColdPressJuicers
187,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,Home_Kitchen,Kitchen_HomeAppliances,SmallApplianceParts_Accessories
188,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,Home_Kitchen,Kitchen_HomeAppliances,SmallKitchenAppliances
189,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",Home_Kitchen,Heating_Cooling_AirQuality,HeatConvectors
190,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",Computers_Accessories,Printers_Inks_Accessories,InkjetInkRefills_Kits
191,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,Home_Kitchen,Kitchen_HomeAppliances,WaffleMakers_Irons
192,Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,Electronics,Mobiles_Accessories,HandlebarMounts
193,Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,Car_Motorbike,CarAccessories,AirPurifiers_Ionizers
194,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",Home_Kitchen,Kitchen_HomeAppliances,CoffeePresses
195,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",Home_Kitchen,Kitchen_HomeAppliances,PressureWashers_Steam_WindowCleaners
196,"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",Electronics,HomeTheater_TV_Video,AVReceivers_Amplifiers
197,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,Computers_Accessories,Accessories_Peripherals,SATACables
198,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",Home_Kitchen,Heating_Cooling_AirQuality,HalogenHeaters
199,"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",Electronics,HomeTheater_TV_Video,3DGlasses
200,"Electronics|Headphones,Earbuds&Accessories|Earpads",Electronics,Headphones_Earbuds_Accessories,Earpads
201,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",Home_Kitchen,Kitchen_HomeAppliances,StovetopEspressoPots
202,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,Home_Kitchen,Kitchen_HomeAppliances,YogurtMakers
203,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,Home_Kitchen,Kitchen_HomeAppliances,StandMixers
204,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",Home_Kitchen,Kitchen_HomeAppliances,ElectricGrinders
205,OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,OfficeProducts,OfficePaperProducts,ColouredPaper
206,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,Home_Kitchen,Kitchen_HomeAppliances,RotiMakers
207,Computers&Accessories|Components|InternalHardDrives,Computers_Accessories,Components,InternalHardDrives
208,Computers&Accessories|Laptops|TraditionalLaptops,Computers_Accessories,Laptops,TraditionalLaptops
209,Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,Electronics,Mobiles_Accessories,PhoneCharms
210,Electronics|HomeAudio|Speakers|TowerSpeakers,Electronics,HomeAudio,TowerSpeakers
211,Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,Electronics,HomeAudio,StreamingClients
